,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
686,Maruti Swift Dzire,Maruti,Swift Dzire,7,70000,Individual,Petrol,Manual,19.1,1197,85.8,5,384000
687,Hyundai i10,Hyundai,i10,12,67000,Individual,Petrol,Manual,20.36,1197,78.9,5,210000
689,Maruti Swift,Maruti,Swift,6,50000,Individual,Diesel,Manual,25.2,1248,74,5,500000
691,Datsun RediGO,Datsun,RediGO,3,20000,Individual,Petrol,Manual,22.7,799,53.64,5,210000
692,Hyundai Verna,Hyundai,Verna,9,57000,Dealer,Petrol,Manual,17.01,1591,121.3,5,425000
693,Mahindra Bolero,Mahindra,Bolero,10,30000,Individual,Diesel,Manual,13.6,2523,63,7,425000
694,Maruti Swift Dzire,Maruti,Swift Dzire,3,80000,Individual,Diesel,Automatic,28.4,1248,74.02,5,495000
695,Maruti Alto,Maruti,Alto,5,50000,Individual,Petrol,Manual,24.7,796,47.3,5,220000
696,Tata Safari,Tata,Safari,10,190000,Individual,Diesel,Manual,11.57,2179,138.1,7,218000
697,Mahindra Bolero,Mahindra,Bolero,3,60000,Individual,Diesel,Manual,15.96,2523,62.1,7,750000
698,Maruti Ciaz,Maruti,Ciaz,4,60000,Dealer,Petrol,Automatic,19.12,1373,91.1,5,715000
699,Audi A6,Audi,A6,7,21000,Dealer,Diesel,Automatic,17.68,1968,174.33,5,1800000
702,Maruti Alto,Maruti,Alto,1,5000,Individual,Petrol,Manual,22.05,796,47.3,5,350000
703,Renault KWID,Renault,KWID,2,25000,Individual,Petrol,Manual,25.17,799,53.3,5,300000
704,Maruti Alto,Maruti,Alto,11,100000,Individual,Petrol,Manual,20.92,998,67.1,5,168000
705,Land Rover Rover,Land Rover,Rover,9,175000,Individual,Diesel,Automatic,11.8,2993,241.6,7,2500000
706,Mercedes-Benz E-Class,Mercedes-Benz,E-Class,9,86500,Dealer,Diesel,Automatic,14.21,2143,203,5,1400000
708,Maruti Swift Dzire,Maruti,Swift Dzire,9,120000,Individual,Diesel,Manual,19.3,1248,73.9,5,350000
710,Hyundai Verna,Hyundai,Verna,8,76300,Individual,Diesel,Manual,22.32,1582,126.32,5,480000
711,Renault KWID,Renault,KWID,2,10000,Individual,Petrol,Automatic,24.04,999,67,5,400000
712,Hyundai Grand,Hyundai,Grand,2,36000,Dealer,Petrol,Manual,18.9,1197,81.86,5,495000
713,Mahindra KUV,Mahindra,KUV,5,26000,Individual,Petrol,Manual,18.15,1198,82,6,420000
714,Maruti Swift Dzire,Maruti,Swift Dzire,3,100000,Individual,Diesel,Manual,23.4,1248,74,5,531000
716,Ford Ecosport,Ford,Ecosport,2,4000,Individual,Petrol,Manual,17,1497,121.36,5,800000
717,Maruti Swift Dzire,Maruti,Swift Dzire,6,86000,Individual,Diesel,Manual,26.59,1248,74,5,550000
718,Volkswagen Vento,Volkswagen,Vento,9,81000,Dealer,Diesel,Manual,20.54,1598,103.6,5,465000
719,Maruti Alto,Maruti,Alto,9,41321,Dealer,Petrol,Manual,19.7,796,46.3,5,185000
720,Mahindra Bolero,Mahindra,Bolero,10,46000,Individual,Diesel,Manual,13.6,2523,63,7,340000
722,Honda City,Honda,City,12,75000,Dealer,Petrol,Manual,16.9,1497,100,5,340000
723,Maruti Wagon R,Maruti,Wagon R,12,113000,Dealer,Petrol,Manual,21.79,998,67.05,5,135000
724,Hyundai Verna,Hyundai,Verna,3,15000,Dealer,Diesel,Automatic,19.08,1582,126.2,5,1225000
725,Honda Amaze,Honda,Amaze,6,16942,Dealer,Petrol,Manual,18,1198,86.7,5,439000
726,Honda Jazz,Honda,Jazz,5,29484,Dealer,Petrol,Manual,18.7,1199,88.7,5,465000
728,Maruti Swift Dzire,Maruti,Swift Dzire,6,84405,Individual,Diesel,Manual,26.59,1248,74,5,530000
729,Maruti Swift Dzire,Maruti,Swift Dzire,4,30000,Individual,Petrol,Manual,21.21,1197,81.8,5,650000
730,Maruti Swift,Maruti,Swift,4,14838,Individual,Petrol,Manual,22,1197,81.8,5,525000
731,Honda City,Honda,City,3,31318,Trustmark Dealer,Petrol,Manual,17.8,1497,117.3,5,885000
732,Maruti Wagon R,Maruti,Wagon R,14,63000,Dealer,Petrol,Manual,21.79,998,67.05,5,120000
733,Toyota Innova,Toyota,Innova,9,120000,Individual,Diesel,Manual,12.99,2494,100,7,860000
734,Maruti Vitara,Maruti,Vitara,5,50000,Individual,Diesel,Manual,24.3,1248,88.5,5,810000
735,Maruti Swift Dzire,Maruti,Swift Dzire,9,74600,Individual,Diesel,Manual,19.3,1248,73.9,5,410000
736,Tata Safari,Tata,Safari,12,80000,Individual,Diesel,Manual,13.93,2179,138.1,7,175000
737,Maruti Swift Dzire,Maruti,Swift Dzire,6,66000,Dealer,Petrol,Manual,20.85,1197,83.14,5,400000
738,Honda City,Honda,City,3,31543,Dealer,Petrol,Manual,16.8,1497,116.3,5,875000
739,Toyota Innova,Toyota,Innova,3,80000,Individual,Diesel,Manual,13.68,2393,147.8,8,1350000
740,Maruti Swift,Maruti,Swift,7,60000,Individual,Diesel,Manual,25.2,1248,74,5,450000
742,Honda City,Honda,City,6,50000,Individual,Diesel,Manual,25.1,1498,98.6,5,700000
743,Audi Q7,Audi,Q7,8,28000,Dealer,Diesel,Automatic,12.07,2967,241.4,7,2650000
744,Maruti Swift Dzire,Maruti,Swift Dzire,9,60000,Individual,Petrol,Manual,17.5,1197,85.8,5,350000
746,Maruti Celerio,Maruti,Celerio,3,18000,Individual,Petrol,Manual,21.63,998,67,5,460000
747,Maruti Alto,Maruti,Alto,10,35000,Individual,Petrol,Manual,20.92,998,67.1,5,220000
748,Hyundai Creta,Hyundai,Creta,4,48000,Dealer,Diesel,Manual,19.67,1582,126.2,5,990000
749,Mahindra Scorpio,Mahindra,Scorpio,5,50000,Individual,Diesel,Manual,15.4,1997,120,7,950000
750,Mahindra Bolero,Mahindra,Bolero,9,120000,Individual,Diesel,Manual,15.96,2523,62.1,7,460000
751,Maruti Eeco,Maruti,Eeco,9,20000,Individual,CNG,Manual,15.1,1196,73,5,220000
752,Mahindra Thar,Mahindra,Thar,3,50000,Individual,Diesel,Manual,16.55,2498,105,6,900000
753,Volkswagen Vento,Volkswagen,Vento,6,53837,Dealer,Petrol,Automatic,16.93,1197,103.2,5,575000
754,Toyota Fortuner,Toyota,Fortuner,6,48000,Dealer,Diesel,Automatic,12.55,2982,168.5,7,1930000
756,Maruti Swift,Maruti,Swift,8,32000,Individual,Petrol,Manual,18.6,1197,85.8,5,475000
757,Renault Triber,Renault,Triber,1,1784,Dealer,Petrol,Manual,20,999,71,7,660000
758,BMW 3,BMW,3,10,98955,Dealer,Diesel,Automatic,13.2,1995,170,5,575000
759,Toyota Innova,Toyota,Innova,8,52000,Dealer,Diesel,Manual,12.99,2494,100,7,625000
760,Hyundai Creta,Hyundai,Creta,3,39000,Dealer,Petrol,Automatic,13,1591,121.3,5,1250000
762,Mahindra KUV,Mahindra,KUV,5,78000,Dealer,Diesel,Manual,25.32,1198,77,6,425000
763,Datsun GO,Datsun,GO,5,58000,Individual,Petrol,Manual,19.44,1198,67,7,460000
764,Audi A4,Audi,A4,3,34500,Individual,Diesel,Automatic,18.25,1968,187.74,5,3000000
765,Volkswagen Polo,Volkswagen,Polo,11,60000,Individual,Petrol,Manual,16.47,1198,73.9,5,200000
766,Maruti Alto,Maruti,Alto,8,76000,Dealer,Petrol,Manual,20.92,998,67.1,5,211000
768,Maruti Ertiga,Maruti,Ertiga,6,51000,Individual,Diesel,Manual,20.77,1248,88.76,7,600000
769,BMW 3,BMW,3,7,23746,Dealer,Diesel,Automatic,22.69,1995,190,5,1600000
770,Maruti Alto,Maruti,Alto,10,55780,Dealer,Petrol,Manual,20.92,998,67.1,5,220000
771,Mahindra Scorpio,Mahindra,Scorpio,4,100000,Individual,Diesel,Manual,15.4,1997,120,7,880000
772,Hyundai i10,Hyundai,i10,9,73000,Dealer,Petrol,Manual,19.81,1086,68.05,5,240000
773,Mahindra Scorpio,Mahindra,Scorpio,4,20000,Individual,Diesel,Manual,15.4,2523,75,7,800000
774,Tata Tiago,Tata,Tiago,4,42000,Dealer,Diesel,Manual,27.28,1047,69,5,435000
775,Maruti Alto,Maruti,Alto,14,52235,Dealer,Petrol,Manual,19.7,796,46.3,5,110000
776,Renault Duster,Renault,Duster,7,56000,Dealer,Diesel,Manual,20.45,1461,83.8,5,450000
777,Maruti Alto,Maruti,Alto,9,37000,Dealer,Petrol,Manual,20.92,998,67.1,5,250000
778,Maruti Swift Dzire,Maruti,Swift Dzire,8,70000,Individual,Diesel,Manual,23.4,1248,74,5,385000
780,Maruti Swift Dzire,Maruti,Swift Dzire,8,138000,Individual,Diesel,Manual,23.4,1248,74,5,400000
781,Maruti Eeco,Maruti,Eeco,3,22000,Individual,CNG,Manual,21.94,1196,61.7,5,480000
782,Honda Amaze,Honda,Amaze,6,41604,Trustmark Dealer,Petrol,Manual,18,1198,86.7,5,400000
784,Maruti Ciaz,Maruti,Ciaz,4,70000,Dealer,Diesel,Manual,26.32,1498,93.87,5,650000
785,Jaguar XF,Jaguar,XF,8,30150,Dealer,Diesel,Automatic,16.36,2179,187.7,5,2011000
786,Ford Ecosport,Ford,Ecosport,4,39884,Dealer,Diesel,Manual,23,1498,98.96,5,880000
787,Datsun RediGO,Datsun,RediGO,4,40000,Dealer,Petrol,Manual,22.5,999,67,5,295000
788,Mahindra Thar,Mahindra,Thar,6,27000,Individual,Diesel,Manual,16.55,2498,105,6,800000
789,Hyundai i10,Hyundai,i10,12,67000,Dealer,Petrol,Manual,19.81,1086,68.05,5,150000
791,Honda Amaze,Honda,Amaze,3,25000,Individual,Petrol,Automatic,18.1,1199,88.7,5,550000
792,Toyota Fortuner,Toyota,Fortuner,7,50000,Individual,Diesel,Manual,13,2982,168.5,7,2000000
793,Honda Amaze,Honda,Amaze,8,75000,Dealer,Diesel,Manual,25.8,1498,98.6,5,325000
794,Mahindra Scorpio,Mahindra,Scorpio,7,80000,Individual,Diesel,Manual,12.05,2179,120,8,555000
795,Ford Ecosport,Ford,Ecosport,6,58000,Dealer,Diesel,Manual,23,1498,98.96,5,570000
796,Renault KWID,Renault,KWID,3,22000,Individual,Petrol,Manual,23.01,999,67,5,306000
797,Maruti Celerio,Maruti,Celerio,5,62000,Dealer,Petrol,Automatic,23.1,998,67.04,5,415000
798,Toyota Fortuner,Toyota,Fortuner,3,28000,Dealer,Diesel,Automatic,12.9,2755,174.5,7,3200000
799,Maruti Swift,Maruti,Swift,9,41000,Dealer,Petrol,Manual,18.6,1197,85.8,5,300000
801,Maruti Ertiga,Maruti,Ertiga,9,65000,Dealer,Diesel,Manual,20.77,1248,88.76,7,430000
802,Maruti Alto,Maruti,Alto,5,10000,Individual,Petrol,Manual,23.95,998,67.05,5,315000
803,Honda City,Honda,City,7,55000,Dealer,Diesel,Manual,26,1498,98.6,5,549000
804,Maruti Swift Dzire,Maruti,Swift Dzire,5,47000,Dealer,Petrol,Manual,22,1197,81.8,5,475000
807,Honda City,Honda,City,7,144000,Individual,Diesel,Manual,26,1498,98.6,5,410000
808,Maruti Ciaz,Maruti,Ciaz,5,20500,Dealer,Petrol,Automatic,19.12,1373,91.1,5,795000
809,Hyundai i20,Hyundai,i20,5,30000,Individual,Diesel,Manual,22.54,1396,88.73,5,820000
810,Mahindra Scorpio,Mahindra,Scorpio,9,32208,Dealer,Diesel,Manual,14,2523,75,8,625000
811,Datsun GO,Datsun,GO,3,68000,Individual,Petrol,Manual,19.83,1198,67,5,370000
812,Maruti Swift,Maruti,Swift,7,90000,Individual,Diesel,Manual,25.2,1248,74,5,350000
814,Lexus ES,Lexus,ES,4,34000,Dealer,Petrol,Automatic,22.37,2487,214.56,5,4100000
815,Maruti Swift,Maruti,Swift,2,14499,Trustmark Dealer,Petrol,Manual,22,1197,81.8,5,535000
816,Hyundai Venue,Hyundai,Venue,2,34000,Dealer,Petrol,Automatic,18.15,998,118.35,5,1050000
817,Tata Tiago,Tata,Tiago,5,17500,Individual,Diesel,Manual,27.28,1047,69,5,400000
818,Maruti Eeco,Maruti,Eeco,6,39900,Dealer,CNG,Manual,15.1,1196,73,5,275000
819,Maruti Alto,Maruti,Alto,16,120000,Individual,Petrol,Manual,19.7,796,46.3,5,95000
820,Jeep Wrangler,Jeep,Wrangler,4,40000,Dealer,Petrol,Automatic,9.5,3604,280,5,4875000
821,Maruti Swift Dzire,Maruti,Swift Dzire,8,90000,Individual,Diesel,Manual,23.4,1248,74,5,400000
823,Maruti Alto,Maruti,Alto,16,40000,Individual,Petrol,Manual,19.7,796,46.3,5,121000
824,Maruti Swift Dzire,Maruti,Swift Dzire,7,40000,Individual,Petrol,Manual,19.1,1197,85.8,5,550000
825,Hyundai Grand,Hyundai,Grand,3,10000,Individual,Petrol,Manual,18.9,1197,81.86,5,510000
826,Maruti Baleno,Maruti,Baleno,3,10000,Individual,Petrol,Automatic,21.4,1197,83.1,5,800000
827,Maruti Swift,Maruti,Swift,2,30000,Individual,Petrol,Manual,21.21,1197,81.8,5,592000
828,Honda Amaze,Honda,Amaze,2,4717,Dealer,Petrol,Automatic,19,1199,88.76,5,785000
830,Maruti Ciaz,Maruti,Ciaz,5,30000,Individual,Petrol,Manual,20.73,1373,91.1,5,625000
832,Ford Ecosport,Ford,Ecosport,7,150000,Individual,Diesel,Manual,22.7,1498,89.84,5,470000
834,Maruti Swift,Maruti,Swift,4,90000,Individual,Diesel,Manual,28.4,1248,74,5,620000
835,Honda City,Honda,City,7,100000,Individual,Diesel,Manual,26,1498,98.6,5,570000
836,Toyota Innova,Toyota,Innova,2,46000,Dealer,Diesel,Automatic,11.36,2755,171.5,7,1811000
838,Toyota Camry,Toyota,Camry,5,32000,Individual,Petrol,Automatic,19.16,2487,214.5,5,2300000
839,Hyundai Creta,Hyundai,Creta,3,71000,Individual,Diesel,Manual,19.67,1582,126.2,5,1100000
841,Ford Ecosport,Ford,Ecosport,6,61000,Dealer,Petrol,Manual,15.8,1499,110,5,525000
842,Honda Jazz,Honda,Jazz,9,58000,Dealer,Petrol,Manual,16.7,1198,88.8,5,320000
844,Honda Jazz,Honda,Jazz,5,23000,Dealer,Diesel,Manual,27.3,1498,98.6,5,525000
846,Maruti Alto,Maruti,Alto,6,20000,Individual,Petrol,Manual,23.95,998,67.05,5,275000
847,Hyundai Elantra,Hyundai,Elantra,8,56000,Dealer,Diesel,Automatic,19.5,1582,126.24,5,590000
848,Maruti Baleno,Maruti,Baleno,5,33000,Dealer,Diesel,Manual,27.39,1248,74,5,510000
849,Mahindra XUV500,Mahindra,XUV500,9,100000,Dealer,Diesel,Manual,15.1,2179,140,7,585000
851,Hyundai Santro,Hyundai,Santro,10,174926,Individual,Petrol,Manual,17.92,1086,62.1,5,150000
853,Maruti Swift Dzire,Maruti,Swift Dzire,7,60000,Individual,Diesel,Manual,23.4,1248,74,5,400000
855,Honda City,Honda,City,5,70333,Dealer,Petrol,Manual,17.8,1497,117.3,5,700000
856,Hyundai i20,Hyundai,i20,4,90000,Individual,Petrol,Manual,18.6,1197,81.83,5,500000
857,Toyota Innova,Toyota,Innova,9,25000,Individual,Diesel,Manual,12.99,2494,100,8,1050000
860,Maruti Swift Dzire,Maruti,Swift Dzire,5,120000,Individual,Diesel,Manual,26.59,1248,74,5,568000
861,Toyota Yaris,Toyota,Yaris,2,5000,Individual,Petrol,Automatic,17.8,1496,105.5,5,1000000
862,Mahindra Scorpio,Mahindra,Scorpio,3,39000,Dealer,Diesel,Manual,16.36,2179,140,7,1275000
863,Hyundai i20,Hyundai,i20,6,25000,Individual,Petrol,Manual,18.6,1197,81.83,5,475000
864,Skoda Superb,Skoda,Superb,10,92000,Individual,Petrol,Manual,13.14,1798,157.8,5,350000
865,Volkswagen Polo,Volkswagen,Polo,7,51000,Dealer,Diesel,Manual,20.14,1498,88.8,5,395000
866,BMW 3,BMW,3,9,54000,Dealer,Diesel,Automatic,19.62,1995,187.74,5,825000
867,Tata Tiago,Tata,Tiago,4,35000,Individual,Diesel,Manual,27.28,1047,69,5,450000
868,Maruti Celerio,Maruti,Celerio,3,24000,Dealer,Petrol,Manual,21.63,998,67.04,5,495000
869,Renault Duster,Renault,Duster,8,70000,Individual,Diesel,Manual,19.01,1461,108.45,5,500000
870,Mahindra Scorpio,Mahindra,Scorpio,6,140000,Individual,Diesel,Manual,15.4,2179,120,7,900000
871,Toyota Innova,Toyota,Innova,8,387000,Individual,Diesel,Manual,12.99,2494,100.6,8,700000
874,Maruti Vitara,Maruti,Vitara,4,36000,Dealer,Diesel,Manual,24.3,1248,88.5,5,710000
875,Tata Tiago,Tata,Tiago,3,110000,Individual,Petrol,Manual,23.84,1199,84,5,400000
876,Tata Tiago,Tata,Tiago,4,1000,Individual,Petrol,Manual,23.84,1199,84,5,470000
877,Maruti Vitara,Maruti,Vitara,3,24525,Dealer,Diesel,Manual,24.3,1248,88.5,5,795000
878,Honda City,Honda,City,4,32440,Individual,Petrol,Manual,17.4,1497,117.6,5,785000
881,Hyundai i10,Hyundai,i10,10,70000,Individual,Petrol,Manual,19.81,1086,68.05,5,250000
882,Datsun RediGO,Datsun,RediGO,3,30000,Individual,Petrol,Manual,22.5,999,67,5,270000
884,Volkswagen Vento,Volkswagen,Vento,3,23268,Individual,Diesel,Manual,22.27,1498,108.6,5,914000
887,Maruti Wagon R,Maruti,Wagon R,8,67000,Dealer,CNG,Manual,32.52,998,58.33,5,260000
888,Renault Duster,Renault,Duster,6,150000,Individual,Diesel,Manual,20.45,1461,83.8,5,550000
889,Toyota Innova,Toyota,Innova,2,25000,Dealer,Diesel,Automatic,11.36,2755,171.5,7,2225000
893,Maruti Swift,Maruti,Swift,3,50000,Individual,Petrol,Manual,21.21,1197,81.8,5,540000
895,Mahindra Thar,Mahindra,Thar,5,40000,Individual,Diesel,Manual,16.55,2498,105,6,620000
896,Audi A4,Audi,A4,7,56000,Dealer,Diesel,Automatic,16.55,1968,147.51,5,1550000
897,Honda City,Honda,City,10,60000,Dealer,Petrol,Manual,17,1497,118,5,350000
898,Maruti Alto,Maruti,Alto,5,10000,Individual,Petrol,Manual,23.95,998,67.05,5,300000
899,Honda City,Honda,City,7,110000,Individual,Diesel,Manual,25.1,1498,98.6,5,550000
901,Mahindra Scorpio,Mahindra,Scorpio,2,30000,Individual,Diesel,Manual,16.36,2179,140,7,1270000
903,Maruti Ertiga,Maruti,Ertiga,2,20000,Individual,Petrol,Manual,19.34,1462,103,7,740000
904,Mercedes-Benz GL-Class,Mercedes-Benz,GL-Class,7,89000,Dealer,Diesel,Automatic,11.3,2987,254.8,7,3450000
905,Tata Tiago,Tata,Tiago,3,15000,Individual,Petrol,Manual,23.84,1199,84,5,450000
906,Hyundai Verna,Hyundai,Verna,4,15000,Individual,Petrol,Automatic,15.74,1591,121.3,5,750000
907,Maruti Swift,Maruti,Swift,6,90000,Individual,Diesel,Manual,25.2,1248,74,5,520000
908,Maruti Swift,Maruti,Swift,8,73695,Trustmark Dealer,Petrol,Manual,18.6,1197,85.8,5,345000
910,Hyundai i10,Hyundai,i10,12,100000,Individual,Petrol,Manual,19.81,1086,68.05,5,215000
911,Hyundai Verna,Hyundai,Verna,11,10000,Individual,Petrol,Manual,16.2,1599,103.2,5,370000
912,Maruti Alto,Maruti,Alto,7,14971,Trustmark Dealer,Petrol,Manual,22.74,796,47.3,5,230000
914,Honda City,Honda,City,2,16000,Dealer,Petrol,Manual,17.4,1497,117.6,5,1075000
915,Mahindra Bolero,Mahindra,Bolero,6,50000,Individual,Diesel,Manual,15.96,2523,62.1,7,550000
916,Ford Figo,Ford,Figo,3,64000,Dealer,Diesel,Manual,24.4,1499,98.96,5,550000
918,Tata Tigor,Tata,Tigor,4,25000,Individual,Diesel,Manual,24.7,1047,69,5,600000
919,Maruti Ciaz,Maruti,Ciaz,6,37006,Dealer,Diesel,Manual,26.21,1248,88.5,5,525000
920,Maruti Wagon R,Maruti,Wagon R,7,50000,Individual,Petrol,Manual,20.51,998,67.04,5,350000
922,Maruti Swift Dzire,Maruti,Swift Dzire,12,94000,Dealer,Diesel,Manual,19.3,1248,73.9,5,255000
923,Mahindra Scorpio,Mahindra,Scorpio,6,93469,Dealer,Diesel,Manual,15.4,2179,120,7,890000
924,Mahindra XUV500,Mahindra,XUV500,3,20000,Individual,Diesel,Manual,16,2179,140,7,1500000
925,Mercedes-Benz E-Class,Mercedes-Benz,E-Class,5,20000,Individual,Diesel,Automatic,15,2143,204,5,3000000
926,Mahindra Bolero,Mahindra,Bolero,8,35000,Individual,Diesel,Manual,15.96,2523,62.1,7,500000
927,Maruti Wagon R,Maruti,Wagon R,6,38546,Dealer,Petrol,Manual,20.51,998,67.04,5,330000
928,Skoda Rapid,Skoda,Rapid,4,18000,Individual,Petrol,Automatic,14.84,1598,103.2,5,850000
929,Ford Figo,Ford,Figo,6,34500,Dealer,Petrol,Manual,15.6,1196,70,5,335000
930,Maruti Swift Dzire,Maruti,Swift Dzire,3,43000,Dealer,Petrol,Automatic,21.21,1197,81.8,5,610000
932,Maruti Baleno,Maruti,Baleno,3,20000,Individual,Petrol,Automatic,21.4,1197,83.1,5,834000
933,Ford Figo,Ford,Figo,10,100000,Individual,Diesel,Manual,20,1399,68,5,170000
934,Maruti Vitara,Maruti,Vitara,3,40000,Individual,Diesel,Manual,24.3,1248,88.5,5,900000
935,Honda City,Honda,City,7,120000,Individual,Diesel,Manual,26,1498,98.6,5,450000
936,Maruti Ertiga,Maruti,Ertiga,2,25000,Individual,Petrol,Automatic,18.69,1462,103,7,900000
938,Volkswagen Vento,Volkswagen,Vento,10,98000,Individual,Petrol,Manual,15.04,1598,103.6,5,360000
939,Honda Jazz,Honda,Jazz,5,66000,Dealer,Petrol,Manual,16,1198,90,5,530000
940,BMW X1,BMW,X1,4,30000,Individual,Diesel,Automatic,20.68,1995,188,5,2700000
941,Mahindra Bolero,Mahindra,Bolero,6,60000,Individual,Diesel,Manual,15.96,2523,62.1,7,551000
942,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,9,41315,Dealer,Petrol,Automatic,11.74,1796,186,5,1050000
943,Hyundai Creta,Hyundai,Creta,3,60000,Individual,Diesel,Manual,19.67,1582,126.2,5,1000000
944,Maruti Alto,Maruti,Alto,17,80000,Individual,Petrol,Manual,19.7,796,46.3,5,80000
945,Maruti Eeco,Maruti,Eeco,6,60000,Individual,CNG,Manual,20,1196,63,5,250000
947,Maruti Wagon R,Maruti,Wagon R,5,35000,Dealer,Petrol,Manual,21.5,1197,81.8,5,390000
948,Audi Q7,Audi,Q7,7,120000,Individual,Diesel,Automatic,12.07,2967,241.4,7,2400000
949,Hyundai Verna,Hyundai,Verna,13,80000,Individual,Petrol,Manual,13.9,1599,103.2,5,130000
951,Maruti Swift Dzire,Maruti,Swift Dzire,4,100000,Individual,Diesel,Manual,26.59,1248,74,5,450000
952,Mercedes-Benz C-Class,Mercedes-Benz,C-Class,8,35400,Dealer,Diesel,Automatic,14.84,2143,167.62,5,1385000
954,BMW 7,BMW,7,4,18000,Dealer,Diesel,Automatic,17.66,2993,355.37,4,6900000
955,Maruti Swift,Maruti,Swift,5,37000,Dealer,Petrol,Manual,18.6,1197,85.8,5,495000
957,Honda WR-V,Honda,WR-V,4,10000,Individual,Petrol,Manual,17.5,1199,88.7,5,800000
958,Renault KWID,Renault,KWID,4,40000,Individual,Petrol,Manual,23.01,999,67,5,260000
959,Maruti Alto,Maruti,Alto,18,120000,Individual,Petrol,Manual,19.7,796,46.3,5,65000
960,Hyundai Grand,Hyundai,Grand,5,60000,Individual,Petrol,Manual,18.9,1197,82,5,460000
961,Hyundai i20,Hyundai,i20,7,100000,Individual,Diesel,Manual,21.9,1396,88.76,5,450000
963,Maruti Wagon R,Maruti,Wagon R,14,55000,Dealer,Petrol,Manual,18.9,1061,67,5,105000
964,Honda CR-V,Honda,CR-V,4,34000,Dealer,Petrol,Automatic,12,2354,187.4,5,1775000
965,Ford Ecosport,Ford,Ecosport,5,67000,Dealer,Diesel,Manual,22.77,1498,98.59,5,525000
966,Renault KWID,Renault,KWID,4,10000,Individual,Petrol,Automatic,24.04,999,67,5,341000
968,Hyundai Creta,Hyundai,Creta,5,20699,Dealer,Petrol,Manual,15.29,1591,121.3,5,775000
969,Toyota Fortuner,Toyota,Fortuner,10,75000,Dealer,Diesel,Manual,11.5,2982,171,7,1099000
970,Honda Amaze,Honda,Amaze,7,89000,Individual,Diesel,Manual,25.8,1498,98.6,5,320000
971,Skoda Rapid,Skoda,Rapid,4,59000,Dealer,Petrol,Automatic,14.3,1598,103.6,5,599000
972,Mahindra Scorpio,Mahindra,Scorpio,7,120000,Individual,Diesel,Manual,15.4,2523,75,9,750000
975,Maruti Swift,Maruti,Swift,4,68791,Dealer,Diesel,Manual,25.2,1248,74,5,510000
976,Maruti Alto,Maruti,Alto,2,10300,Individual,Petrol,Manual,24.7,796,47.3,5,300000
977,Maruti Ertiga,Maruti,Ertiga,2,25000,Individual,Diesel,Manual,25.47,1248,88.5,7,1100000
979,Maruti Swift Dzire,Maruti,Swift Dzire,7,36000,Dealer,Petrol,Manual,17.5,1197,85.8,5,435000
980,Honda Jazz,Honda,Jazz,10,60000,Individual,Petrol,Manual,16,1198,90,5,320000
981,Maruti Alto,Maruti,Alto,5,25000,Individual,Petrol,Manual,23.95,998,67.05,5,350000
982,Mercedes-Benz E-Class,Mercedes-Benz,E-Class,4,48000,Dealer,Diesel,Automatic,16.1,1950,191.7,5,3750000
983,Honda CR-V,Honda,CR-V,4,90000,Dealer,Petrol,Automatic,10.1,2354,152,5,1490000
984,Maruti Swift Dzire,Maruti,Swift Dzire,8,70000,Individual,Diesel,Manual,23.4,1248,74,5,550000
985,Hyundai Verna,Hyundai,Verna,6,90000,Individual,Diesel,Manual,23.9,1582,126.2,5,525000
986,Hyundai Verna,Hyundai,Verna,9,96000,Individual,Diesel,Manual,22.32,1582,126.32,5,415000
988,Maruti Alto,Maruti,Alto,6,90000,Individual,Petrol,Manual,22.74,796,47.3,5,200000
990,Maruti Ertiga,Maruti,Ertiga,4,41000,Dealer,Petrol,Manual,16.02,1373,93.7,7,695000
991,Hyundai i10,Hyundai,i10,13,30000,Individual,Petrol,Manual,19.81,1086,68.05,5,160000
992,Hyundai i10,Hyundai,i10,10,29000,Dealer,Petrol,Manual,20.36,1197,78.9,5,235000
993,Maruti Wagon R,Maruti,Wagon R,9,59000,Individual,Petrol,Manual,18.9,998,67.1,5,300000
994,Hyundai i20,Hyundai,i20,3,12000,Individual,Petrol,Manual,17.19,1197,81.86,5,600000
996,Maruti Wagon R,Maruti,Wagon R,3,45874,Dealer,CNG,Manual,26.6,998,58.16,5,357000
997,Honda Amaze,Honda,Amaze,5,100000,Individual,Diesel,Manual,25.8,1498,98.6,5,320000
998,Ford Figo,Ford,Figo,10,10000,Individual,Diesel,Manual,20,1399,68,5,250000
1001,Maruti Ciaz,Maruti,Ciaz,4,40000,Dealer,Petrol,Automatic,19.12,1373,91.1,5,770000
1003,Mahindra XUV300,Mahindra,XUV300,2,25000,Individual,Petrol,Manual,17,1197,110,5,1140000
1006,Maruti Swift,Maruti,Swift,10,150000,Individual,Diesel,Manual,17.8,1248,75,5,200000
1007,Ford Ecosport,Ford,Ecosport,4,40000,Individual,Petrol,Manual,15.85,1499,110.4,5,700000
1008,Maruti Swift Dzire,Maruti,Swift Dzire,8,65000,Individual,Diesel,Manual,23.4,1248,74,5,480000
1010,Hyundai i20,Hyundai,i20,4,45000,Individual,Petrol,Manual,18.6,1197,81.83,5,600000
1013,Maruti Swift,Maruti,Swift,7,80000,Dealer,Diesel,Manual,25.2,1248,74,5,410000
